Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",2023,Submitted,C
TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2023,No Response,F
Travelers Companies,Financials,Property & Casualty Insurance,"New York City, New York",2023,No Response,F
Trimble,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2023,Submitted,C
Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",2023,Submitted,Not Scored
Tyler Technologies,Information Technology,Application Software,"Plano, Texas",2023,No Response,F
Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",2023,Submitted,C
U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",2023,Submitted,Not Scored
Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",2023,Submitted,B
Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",2023,Submitted,C
Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",2023,Submitted,A-
United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",2023,Submitted,A-
United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2023,Submitted,B-
United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2023,Submitted,B-
UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",2023,Submitted,B
Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2023,No Response,F
Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2023,Submitted,D
Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2023,Submitted,B
Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2023,No Response,F
Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2023,Submitted,B-
Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",2023,Submitted,Not Scored
Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",2023,Submitted,A-
Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2023,Submitted,B
Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2023,No Response,F
Visa,Financials,Transaction & Payment Processing Services,"San Francisco, California",2023,Submitted,C
Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",2023,Submitted,B
Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",2023,Submitted,C
W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2023,Submitted,A-
Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2023,Submitted,B
Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",2023,Submitted,B
