Security,Sector,State,City,Response,Year,Submission,Score,Score Numeric
Sabra Health Care REIT,Real Estate,Health Care REITs,,Climate Change 2023,2023,No Response,F,0
SEI,Financials,Asset Management & Custody Banks,"Oaks, Pennsylvania",Climate Change 2023,2023,Submitted,Not Scored,
Stifel,Financials,Investment Banking & Brokerage,"St. Louis, Missouri",Climate Change 2023,2023,No Response,F,0
Sprouts Farmers Market,Consumer Staples,Food Retail,"Phoenix, Arizona",Climate Change 2023,2023,No Response,F,0
Sotera Health,Health Care,Health Care Services,"Broadview Heights, Ohio",Climate Change 2023,2023,Submitted,D,65
Skechers,Consumer Discretionary,Footwear,"Manhattan Beach, California",Climate Change 2023,2023,Submitted,D-,60
Silicon Labs,Information Technology,Semiconductors,"Austin, Texas",Climate Change 2023,2023,Submitted,C,75
Silgan Holdings,Materials,"Metal, Glass & Plastic Containers","Stamford, Connecticut",Climate Change 2023,2023,Submitted,Not Available,
SLM Corp,Financials,Consumer Finance,"Newark, Delaware",Climate Change 2023,2023,No Response,F,0
Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals,"Marysville, Ohio",Climate Change 2023,2023,Submitted,C,75
Synovus,Financials,Regional Banks,"Columbus, Georgia",Climate Change 2023,2023,No Response,F,0
TD Synnex,Information Technology,Technology Distributors,"Fremont, California Clearwater, Florida",Climate Change 2023,2023,Submitted,B-,80
Sonoco,Materials,Paper & Plastic Packaging Products & Materials,"Hartsville, South Carolina",Climate Change 2023,2023,Submitted,B-,80
Spire,Utilities,Gas Utilities,"St. Louis, Missouri",Climate Change 2023,2023,Submitted,Not Available,
Sarepta Therapeutics,Health Care,Biotechnology,"Cambridge, Massachusetts",Climate Change 2023,2023,No Response,F,0
Simpson Manufacturing,Industrials,Building Products,"Pleasanton, California",Climate Change 2023,2023,No Response,F,0
STAG Industrial,Real Estate,Industrial REITs,"Boston, Massachusetts",Climate Change 2023,2023,Submitted,C,75
Starwood Property Trust,Financials,Mortgage REITs,"Greenwich, Connecticut",Climate Change 2023,2023,No Response,F,0
Synaptics,Information Technology,Semiconductors,"San Jose, California",Climate Change 2023,2023,Submitted,B,85
Texas Capital Bancshares,Financials,Regional Banks,"Dallas, Texas",Climate Change 2023,2023,No Response,F,0
Teradata,Information Technology,IT Consulting & Other Services,"San Diego, California",Climate Change 2023,2023,Submitted,D,65
Terex,Industrials,Construction Machinery & Heavy Transportation Equipment,"Norwalk, Connecticut",Climate Change 2023,2023,Submitted,B,85
Tenet Health,Health Care,Health Care Facilities,"Dallas, Texas",Climate Change 2023,2023,No Response,F,0
Hanover Insurance,Financials,Property & Casualty Insurance,"Worcester, Massachusetts",Climate Change 2023,2023,No Response,F,0
Thor Industries,Consumer Discretionary,Leisure Products,"Elkhart, Indiana",Climate Change 2023,2023,Submitted,C,75
Timken,Industrials,Industrial Machinery & Supplies & Components,"North Canton, Ohio",Climate Change 2023,2023,Submitted,C,75
Taylor Morrison,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",Climate Change 2023,2023,No Response,F,0
Travel + Leisure Co.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",Climate Change 2023,2023,Submitted,B,85
Toll Brothers,Consumer Discretionary,Homebuilding,"Fort Washington, Pennsylvania",Climate Change 2023,2023,No Response,F,0
Trex,Industrials,Building Products,"Winchester, Virginia",Climate Change 2023,2023,Submitted,D,65
Toro,Industrials,Agricultural & Farm Machinery,"Bloomington, Minnesota",Climate Change 2023,2023,See Another,A-,95
Tetra Tech,Industrials,Construction & Engineering,"Pasadena, California",Climate Change 2023,2023,Submitted,C,75
Texas Roadhouse,Consumer Discretionary,Restaurants,"Louisville, Kentucky",Climate Change 2023,2023,No Response,F,0
United Bankshares,Financials,Regional Banks,"Charleston, West Virginia",Climate Change 2023,2023,No Response,F,0
UFP Industries,Industrials,Building Products,"Grand Rapids, Michigan",Climate Change 2023,2023,Submitted,C-,70
UGI Corp,Utilities,Gas Utilities,"King of Prussia, Pennsylvania",Climate Change 2023,2023,Submitted,B,85
Unum,Financials,Life & Health Insurance,"Chattanooga, Tennessee",Climate Change 2023,2023,Submitted,B,85
US Foods,Consumer Staples,Food Distributors,"Rosemont, Illinois",Climate Change 2023,2023,Submitted,B,85
United Therapeutics,Health Care,Biotechnology,,Climate Change 2023,2023,No Response,F,0
Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",Climate Change 2023,2023,No Response,F,0
Visteon,Consumer Discretionary,Automotive Parts & Equipment,"Van Buren Township, Michigan",Climate Change 2023,2023,Submitted,C,75
Valmont Industries,Industrials,Industrial Machinery & Supplies & Components,"Omaha, Nebraska",Climate Change 2023,2023,Submitted,D,65
Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",Climate Change 2023,2023,Submitted,B,85
Viper Energy,Energy,Oil & Gas Storage & Transportation,"Midland, Texas",Climate Change 2023,2023,No Response,F,0
Vontier,Information Technology,Electronic Equipment & Instruments,"Raleigh, North Carolina",Climate Change 2023,2023,Submitted,B,85
Voya Financial,Financials,Multi-Sector Holdings,"New York City, New York",Climate Change 2023,2023,Submitted,B,85
Vishay Intertechnology,Information Technology,Electronic Components,"Malvern, Pennsylvania",Climate Change 2023,2023,Submitted,B-,80
Valvoline,Consumer Discretionary,Automotive Retail,"Lexington, Kentucky",Climate Change 2023,2023,Submitted,B,85
WESCO International,Industrials,Trading Companies & Distributors,"Pittsburgh, Pennsylvania",Climate Change 2023,2023,Submitted,C,75
Wendy's,Consumer Discretionary,Restaurants,"Dublin, Ohio",Climate Change 2023,2023,Submitted,B,85
Weatherford International,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Climate Change 2023,2023,Submitted,C,75
Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",Climate Change 2023,2023,Submitted,B,85
